snapped_at,volume
2024-04-05 00:00:00 +0000,3192628066.697385391276300562170706
2024-04-06 00:00:00 +0000,2999891752.76111838156956939743819048
2024-04-07 00:00:00 +0000,1906116541.0906302125682227907928209
2024-04-08 00:00:00 +0000,1919807405.13428700770512910125373048
2024-04-09 00:00:00 +0000,3933299113.0751692377511437661179228
2024-04-10 00:00:00 +0000,4090454907.54000022159721312358008192
2024-04-11 00:00:00 +0000,3236015170.32583112861875678351605672
2024-04-12 00:00:00 +0000,3139413476.06039114292124887208412289
2024-04-13 00:00:00 +0000,4620736013.69886915906002527806276855
2024-04-14 00:00:00 +0000,4855903189.49670603857650236141228162
2024-04-15 00:00:00 +0000,3856405857.26715646691138124229816342
2024-04-16 00:00:00 +0000,3856642701.22593000905006478514949868
2024-04-17 00:00:00 +0000,2898470281.87585171685926770823423442
2024-04-18 00:00:00 +0000,2464050709.71216470887380321428992344
2024-04-19 00:00:00 +0000,2884710858.66457160307415682208782502
2024-04-20 00:00:00 +0000,4169837524.75242248665879197120790672
2024-04-21 00:00:00 +0000,2439799103.7247359151088999071311506
2024-04-22 00:00:00 +0000,2636745875.44819204391456630239112217
2024-04-23 00:00:00 +0000,2413445163.22203311262940019500319508
2024-04-24 00:00:00 +0000,3296105531.9431663596991156134802582
2024-04-25 00:00:00 +0000,3654848809.88895810554382793785397961
2024-04-26 00:00:00 +0000,2466015100.4438335826242187697221832
2024-04-27 00:00:00 +0000,1736312355.56582233301473263115025452
2024-04-28 00:00:00 +0000,2153657421.47945823253101340917195948
2024-04-29 00:00:00 +0000,2034493076.57226372658205367716673966
2024-04-30 00:00:00 +0000,2358294802.986573111787938398291469
2024-05-01 00:00:00 +0000,2390322395.509961647126609848178752
2024-05-02 00:00:00 +0000,3310156817.7527438787759763240257639
2024-05-03 00:00:00 +0000,1698961478.44507057275247836918564843
2024-05-04 00:00:00 +0000,2571004680.9525158967789056580896927
2024-05-05 00:00:00 +0000,2352862268.13729421561906137760567692
2024-05-06 00:00:00 +0000,1844194670.88875891384616876292612686
2024-05-07 00:00:00 +0000,2265973092.97868155230740745546961752
2024-05-08 00:00:00 +0000,1611275675.68280946042233956161435714
2024-05-09 00:00:00 +0000,1766201517.44835320598687433386351036
2024-05-10 00:00:00 +0000,1367598671.83074927281812455840883488
2024-05-11 00:00:00 +0000,1801192609.13858344981875107136830228
2024-05-12 00:00:00 +0000,1076581139.0095390293701998994594337
2024-05-13 00:00:00 +0000,764007882.11036488268072150133706792
2024-05-14 00:00:00 +0000,1778720179.08978785409152955325064088
2024-05-15 00:00:00 +0000,1561325245.4442942298530430787810142
2024-05-16 00:00:00 +0000,2153139971.0462202476884114309439781
2024-05-17 00:00:00 +0000,1730202571.75457028424027492383208191
2024-05-18 00:00:00 +0000,1568297830.86924885057281077728033087
2024-05-19 00:00:00 +0000,1138574204.7795049812106836499589818
2024-05-20 00:00:00 +0000,1234666777.6419015153576705171414641
2024-05-21 00:00:00 +0000,2341325133.4052756941311153765293795
2024-05-22 00:00:00 +0000,2699632254.17322060446976182248841908
2024-05-23 00:00:00 +0000,1673128499.92808665234227611694911232
2024-05-24 00:00:00 +0000,2851251428.4090503288946456401848384
2024-05-25 00:00:00 +0000,1688498030.97058335508533505897866591
2024-05-26 00:00:00 +0000,1048655257.1555318788556854103554567
