snapped_at,volume
2024-05-24 00:00:00 +0000,818119797.6044423339908033539955688
2024-05-25 00:00:00 +0000,532343340.23592483480820049092169067
2024-05-26 00:00:00 +0000,341530916.17213427862835210889673121
2024-05-27 00:00:00 +0000,333991707.23458126429020981626276676
2024-05-28 00:00:00 +0000,996772341.47563895575844996162246907
2024-05-29 00:00:00 +0000,1142321739.29448335275661455282302528
2024-05-30 00:00:00 +0000,854428632.85646946666382038398831877
2024-05-31 00:00:00 +0000,720307775.13169495312537271385829785
2024-06-01 00:00:00 +0000,580152207.19111809839621336719736532
2024-06-02 00:00:00 +0000,337710051.84820423218148909542029604
2024-06-03 00:00:00 +0000,366990859.66499271588519324606677786
2024-06-04 00:00:00 +0000,572581941.13665974707511140411956846
2024-06-05 00:00:00 +0000,460564001.29767851070804168246390366
2024-06-06 00:00:00 +0000,470074977.11875858312625897167750275
2024-06-07 00:00:00 +0000,415705252.7891415205796496243344272
2024-06-08 00:00:00 +0000,763470461.4717094096059311114589067
2024-06-09 00:00:00 +0000,445456143.95563041715627715294051368
2024-06-10 00:00:00 +0000,376580540.580223323892768468302789
2024-06-11 00:00:00 +0000,459949833.24056928265731142748360741
2024-06-12 00:00:00 +0000,623514483.6383211658728212776824427
2024-06-13 00:00:00 +0000,560658320.51167129300321147605650752
2024-06-14 00:00:00 +0000,442750510.38877292548090523372193729
2024-06-15 00:00:00 +0000,485826740.77158732318721408340410068
2024-06-16 00:00:00 +0000,249342121.9522729136355743540862351
2024-06-17 00:00:00 +0000,263915252.08557706211319722489730455
2024-06-18 00:00:00 +0000,560192548.40905591001629648278361845
2024-06-19 00:00:00 +0000,588807835.45683965604039258843750592
2024-06-20 00:00:00 +0000,387843899.65931902437440438947791856
2024-06-21 00:00:00 +0000,456862074.10358417500058598281926002
2024-06-22 00:00:00 +0000,392074631.08065831141851908655932784
2024-06-23 00:00:00 +0000,200763615.7139026077566121363812011
2024-06-24 00:00:00 +0000,207631511.5076499671424900936731252
2024-06-25 00:00:00 +0000,523158725.84614736274728690315825449
2024-06-26 00:00:00 +0000,383023620.63778718801066877060950336
2024-06-27 00:00:00 +0000,384350763.16714538824321558750516275
2024-06-28 00:00:00 +0000,385900110.82915309935217319754649112
2024-06-29 00:00:00 +0000,357706978.43709340917149588599471839
2024-06-30 00:00:00 +0000,185020257.30440282314805764168814838
2024-07-01 00:00:00 +0000,269359127.84412252005477527956239358
2024-07-02 00:00:00 +0000,303259984.56254308119963822567985343
2024-07-03 00:00:00 +0000,349251565.12482178328942192837688644
2024-07-04 00:00:00 +0000,432087704.34775705264276349833985352
2024-07-05 00:00:00 +0000,514943464.21608744516055916698407184
2024-07-06 00:00:00 +0000,796089448.51448031641836229205891328
2024-07-07 00:00:00 +0000,345584722.74961835963570093180575832
2024-07-08 00:00:00 +0000,316012566.3925936858741718481230922
2024-07-09 00:00:00 +0000,723490642.51779968768180106436262742
2024-07-10 00:00:00 +0000,524881786.6615009640863108160040753
2024-07-11 00:00:00 +0000,527811226.8768748996217576196441438
2024-07-12 00:00:00 +0000,492854594.03218950320211872977371426
2024-07-13 00:00:00 +0000,387838359.0048447354998844248403324
2024-07-14 00:00:00 +0000,342282967.36807983400768702902256422
2024-07-15 00:00:00 +0000,342109529.7874345404589608610225865
2024-07-16 00:00:00 +0000,615421834.33524924492297089111537555
2024-07-17 00:00:00 +0000,822270456.34931536199670575890435148
2024-07-18 00:00:00 +0000,664186103.46698007835164478037975948
2024-07-19 00:00:00 +0000,605663370.7341750809599134057531978
2024-07-20 00:00:00 +0000,566236069.95859067992932926291239188
2024-07-21 00:00:00 +0000,419509827.40137747006700432842520428
2024-07-22 00:00:00 +0000,527192749.412333889960445919126445
2024-07-23 00:00:00 +0000,512329312.01081986305666893388680335
2024-07-24 00:00:00 +0000,655364390.647609732152703052452718
2024-07-25 00:00:00 +0000,512726354.82203042046879417977008125
2024-07-26 00:00:00 +0000,614533105.9892624578909530181383594
2024-07-27 00:00:00 +0000,473675488.12263517727408911506720448
2024-07-28 00:00:00 +0000,487482887.40831760849300145602353456
2024-07-29 00:00:00 +0000,295402264.49834669601051112333004116
2024-07-30 00:00:00 +0000,2928325.9137125257
2024-07-31 00:00:00 +0000,391647954.01615178900590623311159967
2024-08-01 00:00:00 +0000,394792883.16946317483755486110170057
2024-08-02 00:00:00 +0000,518213026.6634363749405778385916362
2024-08-03 00:00:00 +0000,466860980.28914968010092195065798436
2024-08-04 00:00:00 +0000,407645194.10342036087423560809734568
2024-08-05 00:00:00 +0000,416786139.5679372792789976711621248
2024-08-06 00:00:00 +0000,1613859553.3452087554919761567322444
2024-08-07 00:00:00 +0000,689959084.25293454361270463953479316
2024-08-08 00:00:00 +0000,701814818.00624939831468937165422376
2024-08-09 00:00:00 +0000,680710368.25857163935050284204243694
2024-08-10 00:00:00 +0000,486133141.24833585087315719540172861
2024-08-11 00:00:00 +0000,252080758.45919035645424913662643003
2024-08-12 00:00:00 +0000,395452350.20038231237275453225214404
2024-08-13 00:00:00 +0000,587605061.69196044057599262583479712
2024-08-14 00:00:00 +0000,450815470.89770579966384004849340647
2024-08-15 00:00:00 +0000,421843233.92934490555921357882748544
2024-08-16 00:00:00 +0000,413192984.1353395981875788942594563
2024-08-17 00:00:00 +0000,340658015.3189800750513205142239415
2024-08-18 00:00:00 +0000,182060652.37517071245094577680322988
2024-08-19 00:00:00 +0000,292270415.22202946368002730598558538
2024-08-20 00:00:00 +0000,489490780.5644809695196002083947748
2024-08-21 00:00:00 +0000,464683586.56110170405440824494680116
2024-08-22 00:00:00 +0000,443022071.60786771326925667624463072
2024-08-23 00:00:00 +0000,392544140.39697442678411469899311029
2024-08-24 00:00:00 +0000,809615249.62106251908864506262583505
2024-08-25 00:00:00 +0000,570749969.10034679937828208820652672
2024-08-26 00:00:00 +0000,427968843.96620682672169994244513954
2024-08-27 00:00:00 +0000,496454781.28258052325443142976193217
2024-08-28 00:00:00 +0000,542613317.55251360284697848702499129
2024-08-29 00:00:00 +0000,498614816.8133525851286556602113408
2024-08-30 00:00:00 +0000,391685247.1260350013563462029049647
2024-08-31 00:00:00 +0000,451196909.67027190089105646907959
2024-09-01 00:00:00 +0000,199761387.62117776355488923062972483
2024-09-02 00:00:00 +0000,303200163.29541699335047208595290816
2024-09-03 00:00:00 +0000,337756676.6702805246358738339060051
2024-09-04 00:00:00 +0000,391270901.28449958225659503105255158
2024-09-05 00:00:00 +0000,502537723.05142611292959290443755414
2024-09-06 00:00:00 +0000,445051472.1283461895607531348851711
2024-09-07 00:00:00 +0000,614245189.47883472613376308531135303
2024-09-08 00:00:00 +0000,245335452.95680130472515436031044132
2024-09-09 00:00:00 +0000,249850964.09445679471863544359880348
2024-09-10 00:00:00 +0000,548469312.64058688599728417757181834
2024-09-11 00:00:00 +0000,405472675.49669767963975339008832277
2024-09-12 00:00:00 +0000,477466443.69355224617629770425580796
2024-09-13 00:00:00 +0000,516339901.1049571865717969018214162
2024-09-14 00:00:00 +0000,637336780.29842633704583391143027584
